feature,importance
EXT_SOURCE_MEAN,208364.43881297112
EXT_SOURCE_MIN,46576.21409745216
EXT_SOURCE_MAX,23410.937744998933
EXT_SOURCE_2_3,23114.47955970764
CREDIT_TERM,21726.49272325039
CREDIT_GOODS_RATIO,19085.368535995483
BUREAU_DEBT_CREDIT_RATIO,13159.41941356659
INST_LATE_PAYMENT_mean,11940.774592924117
AMT_ANNUITY,11880.14159578085
PREV_REFUSED_RATE,10434.55310678482
BUREAU_DAYS_CREDIT_max,10429.706556653977
POS_INSTALMENT_COMPLETION_mean,10322.823753070832
PREV_CREDIT_GOODS_RATIO_mean,9699.421736240387
INST_AMT_PAYMENT_sum,9306.737694501877
NAME_EDUCATION_TYPE,9120.576767349243
DAYS_BIRTH,9046.658511590958
EXT_SOURCE_3,8919.74062051773
CODE_GENDER,8719.334719610215
OWN_CAR_AGE,7987.240371704102
CC_CNT_DRAWINGS_ATM_CURRENT_mean,7882.087794351578
DAYS_EMPLOYED_RATIO,7877.665492773056
DAYS_EMPLOYED,7863.217358827591
AGE_YEARS,7117.030740833283
POS_CNT_INSTALMENT_FUTURE_mean,6730.676378059387
INST_SIGNIFICANT_LATE_mean,6583.224465751648
EMPLOYMENT_YEARS,6510.312039375305
BUREAU_DAYS_CREDIT_ENDDATE_max,6334.857669210434
ANNUITY_INCOME_RATIO,6246.910372591019
EXT_SOURCE_1,5981.098958444595
AMT_GOODS_PRICE,5783.576477813721
INCOME_PER_EMPLOYED_YEAR,5734.295797049999
BUREAU_DAYS_ENDDATE_FACT_max,5135.253689289093
PREV_AMT_DOWN_PAYMENT_sum,4763.847252273559
BUREAU_AMT_CREDIT_MAX_OVERDUE_mean,4759.318049001694
EXT_SOURCE_1_2,4745.311452150345
BUREAU_AMT_CREDIT_SUM_max,4679.689576292038
PREV_CREDIT_GOODS_RATIO_max,4643.818279647827
POS_SK_ID_PREV_count,4643.768339633942
EXT_SOURCE_STD,4568.320869207382
PREV_CNT_PAYMENT_mean,4539.339689087868
CC_CNT_DRAWINGS_CURRENT_mean,4513.520576143264
CC_BALANCE_LIMIT_RATIO_max,4431.0767844676975
INST_PAYMENT_DIFF_RATIO,4404.774019384384
BUREAU_AMT_CREDIT_SUM_sum,4360.6999221205715
PAYMENT_RATE,4344.544823217392
BUREAU_ACTIVE_AMT_CREDIT_SUM_sum,4334.679979562759
EXT_CREDIT_3,4298.453576147556
INST_AMT_PAYMENT_mean,4291.126801395416
AMT_CREDIT,4276.121477603912
EXT_INCOME_3,4230.2733488559725
DAYS_ID_PUBLISH,4116.965404987335
BUREAU_DAYS_CREDIT_mean,4112.4167307853695
BUREAU_AMT_CREDIT_SUM_mean,4089.8085629940033
INST_DAYS_ENTRY_PAYMENT_max,4065.2206052303313
BUREAU_ACTIVE_AMT_CREDIT_SUM_DEBT_mean,4048.6361033439634
BUREAU_DAYS_CREDIT_var,4044.7160728931426
BUREAU_AMT_CREDIT_MAX_OVERDUE_max,4030.340268611908
EXT_SOURCE_2,4023.657690143585
PREV_APPROVAL_RATE,3972.8899894714355
REGION_POPULATION_RELATIVE,3972.305599021912
CREDIT_PER_PERSON,3904.70520029068
DAYS_LAST_PHONE_CHANGE,3857.530588403344
EXT_SOURCE_PROD,3703.5135711669923
PREV_DAYS_DECISION_max,3663.6562819480896
INST_AMT_PAYMENT_min,3612.807420372963
INST_DAYS_BEFORE_DUE_mean,3572.9686501979827
BUREAU_CREDIT_ACTIVE_BINARY_sum,3550.2281995773315
INST_AMT_INSTALMENT_min,3507.124013566971
POS_SK_DPD_DEF_mean,3450.8060377120973
DAYS_REGISTRATION,3438.886885523796
PREV_AMT_ANNUITY_min,3437.0048850774765
POS_MONTHS_BALANCE_max,3419.327076768875
EXT_WEIGHTED_1,3380.728880023956
BUREAU_DAYS_CREDIT_ENDDATE_mean,3375.086733317375
PREV_APPROVED_AMT_APPLICATION_sum,3366.6973009705544
CC_BALANCE_LIMIT_RATIO_mean,3364.914764928818
PREV_HOUR_APPR_PROCESS_START_mean,3344.9567848205565
EXT_CREDIT_2,3323.2780241012574
INST_DAYS_INSTALMENT_min,3320.074277114868
ID_PUBLISH_YEARS,3315.6446818590166
EXT_INCOME_1,3225.362967920303
INST_DAYS_BEFORE_DUE_max,3224.595519423485
ORGANIZATION_TYPE,3216.7124404907227
INST_DAYS_BEFORE_DUE_min,3190.9640554904936
INCOME_PER_AGE,3145.1250216960907
EXT_INCOME_2,3134.888873243332
BUREAU_ACTIVE_AMT_CREDIT_SUM_mean,3113.040044784546
POS_REMAINING_INSTALMENTS_mean,3103.118211746216
INST_DAYS_INSTALMENT_max,3101.9483458042146
CREDIT_INCOME_RATIO,3096.7465682506563
INST_DAYS_BEFORE_DUE_var,3095.7617799043655
POS_REMAINING_INSTALMENTS_sum,3038.6207479953764
PREV_AMT_ANNUITY_mean,3031.90734872818
BUREAU_CREDIT_ENDDATE_BINARY_sum,3016.0664125919343
PREV_DAYS_DECISION_mean,3011.401698100567
INST_AMT_INSTALMENT_sum,2987.7826816082
INST_DAYS_ENTRY_PAYMENT_min,2974.457010126114
BUREAU_DAYS_CREDIT_UPDATE_max,2948.579579925537
PREV_AMT_GOODS_PRICE_min,2933.574437761307
INST_AMT_INSTALMENT_max,2930.8558518409727
GOODS_PRICE_INCOME_RATIO,2928.2558030486107
CC_AVG_UTILIZATION,2871.530300664902
PREV_AMT_DOWN_PAYMENT_max,2864.838311433792
BUREAU_DAYS_ENDDATE_FACT_min,2832.868174791336
PREV_APPROVED_CNT_PAYMENT_mean,2791.1993609428405
POS_MONTHS_BALANCE_mean,2783.136404943466
BUREAU_DAYS_ENDDATE_FACT_mean,2747.769096899033
BUREAU_AMT_CREDIT_SUM_DEBT_mean,2714.0164679288864
NAME_FAMILY_STATUS,2703.13064365387
SOCIAL_CIRCLE_DEFAULT_RATIO,2644.4565576076507
PREV_APP_CREDIT_RATIO_mean,2633.26163520813
POS_MONTHS_BALANCE_min,2603.865926074982
EXT_SOURCE_1_3,2573.9590693473815
BUREAU_DAYS_CREDIT_UPDATE_mean,2571.7869374275206
INST_PAYMENT_DIFF_max,2537.0477751255034
INST_PAYMENT_DIFF_mean,2526.165107011795
FLAG_DOCUMENT_3,2520.8249853134157
BUREAU_DAYS_CREDIT_min,2494.315747451782
PREV_CNT_PAYMENT_max,2485.7090538024904
POS_CNT_INSTALMENT_max,2478.3703951358793
INST_AMT_PAYMENT_max,2427.60081448555
REGISTRATION_YEARS,2397.7227003216744
EXT_CREDIT_1,2376.8669616699217
PREV_INTEREST_RATE_max,2352.0917691230775
BUREAU_ACTIVE_AMT_CREDIT_SUM_DEBT_sum,2339.3059186458586
INST_TOTAL_LATE_RATIO,2317.7927877902985
NAME_INCOME_TYPE,2285.2944009780886
INST_DAYS_INSTALMENT_mean,2270.8146365642547
INST_SK_ID_PREV_count,2245.017254447937
PREV_APP_CREDIT_RATIO_min,2237.888736915588
BUREAU_DAYS_CREDIT_ENDDATE_min,2231.6865783691405
INST_NUM_INSTALMENT_NUMBER_mean,2204.5192257881163
PREV_APPROVED_CNT_PAYMENT_sum,2183.4196359634398
CC_AMT_DRAWINGS_ATM_CURRENT_mean,2117.5449471950533
BUREAU_DAYS_CREDIT_UPDATE_min,2099.3751615047454
PREV_APPROVED_AMT_CREDIT_sum,2089.559772348404
INST_PAYMENT_RATIO_mean,2065.7701747536657
INST_AMT_INSTALMENT_mean,2020.5485164403915
INST_NUM_INSTALMENT_NUMBER_max,2017.333011484146
PREV_AMT_DOWN_PAYMENT_mean,1999.1235298633576
CREDIT_PER_CHILD,1963.9880106687547
EXT_SOURCE_RANGE,1959.0100356578828
PREV_DAYS_DECISION_min,1943.7616713047028
POS_CNT_INSTALMENT_mean,1932.7457066059112
INST_DAYS_ENTRY_PAYMENT_mean,1918.6640539169312
BUREAU_CREDIT_ACTIVE_BINARY_mean,1916.999264717102
PREV_APPROVED_AMT_APPLICATION_mean,1910.772827756405
CC_CNT_DRAWINGS_CURRENT_max,1895.3021446704865
INST_NUM_INSTALMENT_VERSION_mean,1893.2387067317964
INCOME_PER_PERSON,1887.7019274711608
EXT_WEIGHTED_2,1887.6340807914735
BUREAU_AMT_CREDIT_SUM_DEBT_max,1876.4781354427337
POS_CNT_INSTALMENT_FUTURE_max,1873.8507840514183
TOTALAREA_MODE,1868.3802827835084
REGION_RATING_CLIENT_W_CITY,1867.5574025630951
POS_CNT_INSTALMENT_FUTURE_sum,1831.7610240459442
DOCUMENT_COUNT,1802.5659255027772
PREV_APPROVED_AMT_CREDIT_mean,1794.6258498191833
PREV_AMT_ANNUITY_max,1735.0664438724518
POS_REMAINING_INSTALMENTS_max,1721.2164097785949
PREV_HOUR_APPR_PROCESS_START_max,1708.612361574173
OCCUPATION_TYPE,1701.0187832832337
INST_PAID_UNDER_mean,1660.4571351051331
BUREAU_AMT_ANNUITY_mean,1635.953240442276
PREV_AMT_ANNUITY_sum,1635.2524303913117
PREV_RATE_DOWN_PAYMENT_max,1633.059997986257
PREV_CREDIT_GOODS_RATIO_min,1632.7076003551483
CC_MIN_PAYMENT_RATIO_max,1627.0647850990295
PREV_INTEREST_RATE_mean,1604.0943638801575
PREV_CNT_PAYMENT_sum,1595.1401250362396
PREV_AMT_GOODS_PRICE_mean,1569.2747468948364
BUREAU_AMT_ANNUITY_max,1547.5363571166993
HOUR_APPR_PROCESS_START,1541.7919486999513
AMT_INCOME_TOTAL,1535.964752626419
BUREAU_CREDIT_ENDDATE_BINARY_mean,1522.064557313919
BUREAU_AMT_CREDIT_SUM_DEBT_sum,1495.4296558856963
POS_SK_DPD_DEF_max,1483.1100262641908
CC_MIN_PAYMENT_RATIO_mean,1477.990021789074
PREV_APP_CREDIT_RATIO_max,1456.1889888882638
